country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,35,35,35,23,20,20,22,22,22,23,23,23,23,23,23,21,19,20,19,19,19,9,6,6,6,5,14,50,52,51,52,52,53,54,53,52,52,51,52,52,52,50,51,55
Albania,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,18,62,68,65,65,68,68,69,70,71,73,70,71,71,71,71,71,71,71,71,71,71,71,64,65,65,65,69,62
Algeria,34,34,34,34,34,36,36,36,36,36,36,36,36,36,40,53,53,52,51,51,51,51,51,51,55,56,56,56,56,56,58,58,58,58,58,57,57,52,57,56,56,53,55,56
Angola,19,19,19,19,19,19,19,19,20,19,19,20,20,20,20,23,26,35,35,34,33,35,34,34,35,34,35,39,43,44,46,48,46,46,46,46,46,46,47,47,47,47,51,53
Argentina,52,24,14,14,14,14,14,17,33,82,82,82,84,84,82,83,83,82,81,82,82,81,82,81,82,84,83,82,78,80,80,81,80,79,78,77,77,77,78,78,76,83,82,82
Armenia,,,,,,,,,,,,,,,,,69,68,68,65,64,64,65,64,66,65,65,65,65,63,63,63,61,56,61,61,60,60,60,60,59,60,62,70
Australia,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,92,92,91,90,92,91,92,92,92,91,92,91,92,92,92,92,92,92,90,92,92,92,92,86,86,88,88,81,82
Austria,87,91,90,91,90,91,90,90,90,91,91,91,90,91,90,91,91,91,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,89,90,91,86,86,86,87,87,80
Azerbaijan,,,,,,,,,,,,,,,,,42,53,51,41,41,41,41,43,44,43,43,42,41,41,40,40,40,40,39,39,39,38,35,34,34,34,35,34
Bahrain,43,35,35,35,35,33,33,33,33,33,33,33,33,33,33,33,32,32,33,33,33,33,32,32,33,38,48,49,49,50,50,50,49,50,49,46,21,23,23,23,20,20,9,9
Bangladesh,36,39,49,49,50,52,52,41,39,39,39,46,47,46,44,44,58,59,59,59,59,57,57,57,57,57,57,57,57,57,57,57,48,48,51,51,51,50,49,47,48,48,46,47
Belarus,,,,,,,,,,,,,,,,,71,74,74,74,69,60,57,54,49,46,45,44,43,43,43,41,41,42,42,41,41,39,44,45,44,48,48,45
Belgium,82,82,82,82,82,83,83,83,83,83,83,84,83,83,85,89,89,89,89,89,90,90,90,90,90,90,90,90,90,91,90,89,89,92,92,92,92,92,89,89,89,89,88,86
Benin,29,29,29,29,29,29,29,29,29,29,29,29,29,29,31,71,75,80,80,80,80,80,78,78,79,78,78,79,78,79,77,73,71,71,71,75,74,74,77,79,80,80,79,76
Bolivia,19,19,19,23,36,15,19,47,68,69,74,73,73,73,73,74,74,73,74,74,74,73,74,73,74,73,74,74,73,74,76,72,71,70,70,69,69,68,68,68,69,68,68,71
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,41,42,42,41,57,59,59,61,66,67,68,68,69,69,68,68,68,68,68,68,68,67,66,66,62,62,56
Botswana,73,74,74,74,74,74,74,75,74,75,75,75,75,75,75,74,75,75,75,75,75,75,75,75,75,75,75,75,75,76,76,76,76,75,75,74,75,76,68,68,69,68,73,72
Brazil,22,27,27,27,38,41,41,41,41,42,54,61,63,75,76,77,79,80,78,80,80,80,80,80,80,80,80,79,80,79,82,82,82,82,82,82,82,81,82,79,78,68,67,65
Bulgaria,23,23,23,23,23,25,25,24,25,27,27,27,27,27,29,78,78,78,77,78,77,78,78,76,79,79,79,79,79,79,79,79,79,79,78,77,76,74,66,69,72,72,70,65
Burkina Faso,44,45,46,49,49,46,44,44,47,45,45,45,45,43,43,45,48,51,53,53,53,53,53,55,58,68,68,68,68,68,68,66,67,67,67,68,67,66,69,73,75,76,77,76
Burundi,37,35,37,37,38,38,38,38,38,39,38,38,43,45,45,45,45,61,61,61,61,58,57,56,56,56,57,57,58,59,57,56,55,54,54,53,55,54,46,44,31,22,19,23
Cambodia,8,3,3,3,6,14,14,14,14,14,14,14,14,14,14,16,16,30,41,49,49,49,49,50,52,49,49,48,48,49,48,49,49,49,49,48,47,48,45,45,45,42,36,38
Cameroon,23,23,23,23,23,29,28,37,41,41,40,40,40,41,41,47,53,56,58,59,59,60,60,60,60,61,61,61,61,61,61,61,61,61,61,61,61,61,56,57,56,48,45,43
Canada,86,86,86,86,86,86,86,88,88,88,88,89,89,88,88,88,89,88,88,88,88,89,90,88,90,90,90,90,90,90,90,90,90,90,90,91,91,91,88,88,87,88,87,85
Central African Republic,25,23,22,22,26,46,47,39,39,39,39,39,39,39,39,41,44,51,52,54,52,52,52,54,52,52,52,52,53,50,50,50,50,50,50,49,49,49,42,48,55,57,56,58
Chad,32,32,32,32,32,29,28,19,18,19,18,17,17,17,17,29,43,45,45,46,44,46,46,44,44,44,44,44,44,45,43,43,42,43,43,42,44,41,48,47,47,47,43,44
Chile,10,10,10,12,13,17,18,18,18,18,20,20,20,21,35,75,76,76,76,77,77,77,77,77,77,84,85,85,85,85,85,83,83,84,83,86,89,91,92,91,88,88,89,84
China,9,9,12,25,36,40,40,40,40,40,40,42,43,43,39,35,35,35,38,37,37,38,37,37,37,36,37,38,38,39,40,39,40,39,39,39,38,36,35,35,33,32,31,29
Colombia,57,57,58,49,44,44,44,46,57,55,55,55,54,52,52,52,60,58,58,59,59,59,59,59,59,59,59,57,59,59,60,60,60,59,60,64,69,69,66,66,65,67,66,60
"Congo, Dem. Rep.",26,25,26,26,26,26,26,27,27,26,27,26,27,26,27,34,41,41,42,42,42,42,40,47,48,47,47,47,47,46,46,46,46,46,47,47,47,47,47,48,48,45,45,46
"Congo, Rep.",28,28,28,27,27,28,28,28,28,28,28,27,27,27,28,36,56,54,55,55,56,56,43,43,43,43,43,43,43,43,43,43,43,42,42,43,45,45,35,35,33,33,38,35
Costa Rica,84,84,84,84,84,92,92,93,92,92,92,92,93,93,92,93,91,93,93,91,91,91,91,91,91,91,92,92,92,93,95,95,95,95,95,96,96,95,95,94,93,93,86,86
Cote d'Ivoire,40,40,40,40,40,40,40,40,40,40,40,40,40,40,41,52,56,54,55,60,60,60,61,61,60,64,65,63,63,64,61,62,62,62,61,61,59,61,64,65,64,64,61,63
Croatia,,,,,,,,,,,,,,,,,47,49,50,52,52,57,57,57,57,78,79,79,79,79,77,77,77,78,78,77,78,78,73,74,72,65,62,61
Cuba,14,14,13,13,13,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,19,19,21,21,21,22,22,28
Cyprus,64,66,66,66,66,69,69,70,69,68,69,69,69,67,68,70,73,73,73,73,73,71,71,71,72,74,74,74,74,79,79,79,79,79,79,82,82,81,80,79,81,80,79,80
Czech Republic,22,22,22,22,22,22,22,22,22,22,22,23,27,27,32,92,92,90,92,92,90,90,92,90,91,91,90,91,91,90,90,90,90,90,90,91,91,91,86,85,85,87,84,83
Denmark,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,95,95,94,93,92,92
Dominican Republic,41,41,41,46,71,70,71,71,71,70,70,69,68,67,68,67,69,67,67,63,68,67,75,78,76,76,76,76,76,76,76,77,75,75,75,75,75,75,74,74,71,71,72,75
Ecuador,44,44,45,50,66,75,74,75,76,69,65,65,65,70,73,73,73,73,71,71,71,71,71,72,72,72,72,72,72,72,70,73,77,71,68,62,62,60,66,67,66,67,69,82
Egypt,37,38,36,35,35,35,37,37,37,37,38,39,37,37,38,38,38,38,38,38,38,40,40,40,40,41,41,41,41,41,41,40,41,41,41,46,58,53,31,28,26,28,32,31
El Salvador,24,24,20,20,21,21,21,21,25,25,25,25,25,26,27,30,29,51,66,71,71,71,73,72,73,73,73,73,72,73,72,74,75,74,74,75,75,75,71,71,71,72,73,64
Equatorial Guinea,0,0,0,1,9,30,31,30,30,30,31,30,30,30,30,31,31,31,31,31,26,26,26,26,26,28,27,27,28,26,26,26,27,28,29,27,26,26,24,24,24,24,22,24
Eritrea,,,,,,,,,,,,,,,,,,,43,42,42,41,43,42,42,40,19,8,8,8,8,8,8,8,9,9,10,9,11,11,11,12,10,12
Estonia,,,,,,,,,,,,,,,,,79,83,83,83,85,85,85,85,85,85,85,85,85,85,85,85,85,88,90,90,91,91,91,90,90,91,90,91
Ethiopia,17,13,13,13,13,13,13,13,13,13,13,13,13,16,16,16,43,46,46,45,46,46,46,46,46,46,46,46,46,45,44,39,39,40,40,39,39,38,38,38,36,36,36,51
Finland,74,75,75,75,75,76,78,77,78,78,79,78,79,79,81,90,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,94,95,95,91,91,85,85,86,89
France,90,91,91,91,91,91,92,94,94,94,94,94,94,97,97,97,97,97,97,95,97,97,97,97,97,97,97,97,97,97,97,96,95,95,96,95,95,96,93,93,93,93,86,86
Gabon,41,41,41,41,43,42,42,42,42,42,42,42,42,43,43,53,61,61,59,59,61,61,60,60,60,60,60,61,61,61,61,61,61,61,60,68,68,65,72,74,72,72,75,70
Gambia,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,36,29,31,33,33,33,34,34,34,34,34,34,33,33,33,33,33,33,32,28,28,28,29,65,68
Georgia,,,,,,,,,,,,,,,,,50,57,58,62,62,63,62,62,64,63,63,63,63,64,65,65,64,64,64,64,64,64,80,82,82,81,81,79
Germany,85,84,84,87,88,89,89,89,89,89,88,89,89,89,89,92,92,92,92,92,92,92,92,92,92,92,92,92,92,94,94,94,94,94,94,94,94,93,93,93,92,92,91,89
Ghana,39,39,39,41,51,60,55,38,32,34,34,34,35,35,35,40,40,45,58,61,66,67,68,68,68,78,78,78,77,77,78,78,78,78,78,82,82,79,78,76,72,76,77,74
Greece,79,83,85,85,85,85,88,91,91,91,91,91,92,92,92,92,92,92,93,93,93,92,93,93,93,92,92,93,93,93,93,92,92,92,92,92,91,89,86,86,84,83,79,77
Guatemala,22,20,16,13,13,13,13,13,13,15,23,35,40,40,40,40,39,39,38,41,43,45,49,49,49,60,61,61,60,60,62,62,62,62,62,63,62,62,62,61,62,62,65,60
Guinea,18,18,18,18,18,18,18,18,18,18,36,36,36,38,39,42,47,50,52,50,50,50,50,50,52,51,51,51,54,52,52,52,52,50,47,56,58,59,61,61,61,61,58,51
Guinea-Bissau,34,34,34,34,34,36,35,34,34,34,34,34,34,34,34,37,37,37,41,45,47,47,47,47,47,51,50,53,53,55,56,55,55,57,54,55,57,52,59,59,59,60,56,58
Haiti,18,18,19,19,18,14,17,17,17,18,18,31,49,49,49,49,55,40,40,42,61,62,64,65,65,63,62,62,59,59,57,60,67,66,65,64,64,60,63,64,63,69,64,50
Honduras,39,39,37,37,38,47,48,48,48,48,48,51,52,51,52,54,55,55,55,55,61,61,61,61,62,61,62,61,63,63,63,64,64,64,54,57,58,60,64,64,64,64,64,60
Hungary,32,32,32,32,32,34,35,39,39,38,41,41,42,45,58,92,90,88,88,89,89,91,91,90,88,88,88,89,88,90,90,82,86,86,86,78,75,73,71,71,69,69,65,63
India,47,47,60,71,71,70,71,71,71,71,71,71,71,71,71,71,72,72,72,71,72,72,72,72,71,71,70,71,71,71,72,72,72,72,72,72,72,68,71,68,61,60,57,58
Indonesia,29,29,29,29,29,28,28,28,28,28,28,28,28,28,28,28,28,28,27,28,28,28,27,47,68,71,71,71,71,70,70,70,70,70,70,70,70,70,67,68,70,72,71,68
Iran,27,27,27,29,35,25,20,18,18,20,22,22,21,21,27,31,32,32,33,32,34,36,42,44,46,45,44,44,44,44,39,37,38,37,35,33,33,33,36,36,37,37,43,39
Iraq,27,27,27,27,21,13,13,13,13,13,13,13,13,13,14,14,13,13,13,13,14,13,13,13,13,14,14,14,39,50,52,50,50,50,50,49,49,49,43,42,43,46,45,47
Ireland,75,75,75,75,75,75,75,78,78,78,79,79,79,79,79,85,86,86,86,86,86,87,87,87,88,89,89,89,89,89,89,89,89,90,90,90,90,90,88,88,88,88,88,88
Israel,69,69,69,69,69,69,69,69,69,69,68,69,67,69,69,69,69,68,69,68,69,69,68,68,68,68,68,68,68,68,68,68,67,68,68,67,67,68,67,67,66,66,63,64
Italy,75,76,76,77,77,84,87,87,87,87,87,87,87,87,87,87,90,90,90,90,90,90,90,90,90,88,87,87,87,87,87,88,88,86,86,86,87,88,85,85,85,85,83,86
Jamaica,65,65,65,65,65,66,68,68,68,68,69,71,70,71,71,73,75,75,75,75,76,75,77,77,77,77,78,78,78,77,77,78,78,78,78,78,78,78,86,86,86,86,86,80
Japan,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,82,81,81,83,83,83,83,83,83,83,83,83,83,83,83,83,83,81,81,83,83,83,82,78,78,77,77,76,73
Jordan,36,36,36,36,36,35,35,35,36,35,36,35,35,35,36,44,45,45,45,44,45,44,45,43,44,49,49,49,49,49,49,49,49,49,50,52,55,55,54,54,54,55,55,55
Kazakhstan,,,,,,,,,,,,,,,,,56,56,56,57,54,53,53,53,53,53,53,52,52,52,49,49,51,50,50,50,47,47,48,47,46,48,46,44
Kenya,37,37,36,37,38,37,37,36,36,32,32,32,31,32,31,37,38,42,51,51,55,55,54,55,54,58,58,60,66,67,67,67,67,66,67,68,68,68,70,70,70,71,66,65
Kuwait,55,53,53,53,53,51,52,52,52,52,52,51,51,51,51,45,46,55,56,56,56,56,56,56,56,53,53,54,55,55,55,55,54,54,54,54,54,53,53,52,52,52,51,51
Kyrgyz Republic,,,,,,,,,,,,,,,,,58,60,58,53,53,52,52,52,52,49,49,49,49,49,51,52,51,49,48,55,63,60,61,60,64,62,62,68
Lao,14,7,7,7,7,7,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,10,12,12,12,12,13,12,12,12,14,14,14,14,15,17,16,14,14,13,13
Latvia,,,,,,,,,,,,,,,,,85,85,86,86,86,86,86,86,86,86,86,86,86,86,86,86,87,86,87,87,87,88,87,88,88,87,84,85
